date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-03-26,Senegal,Niger,2.0,0.0,African Cup of Nations qualification,Dakar,Senegal,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,2.0
2016-03-26,Seychelles,Lesotho,2.0,0.0,African Cup of Nations qualification,Victoria,Seychelles,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,2.0
2016-03-26,Sint Maarten,United States Virgin Islands,1.0,2.0,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False,,A,0.2,0.5,1004.0,1000.0,4.0,-1.0,2.0
2016-03-27,Benin,South Sudan,4.0,1.0,African Cup of Nations qualification,Cotonou,Benin,False,,H,0.2,0.0,1008.0,992.0,16.0,3.0,2.0
2016-03-27,Botswana,Comoros,2.0,1.0,African Cup of Nations qualification,Francistown,Botswana,False,,H,0.0,0.2,992.0,1008.0,-16.0,1.0,2.0
2016-03-27,Congo,Zambia,1.0,1.0,African Cup of Nations qualification,Brazzaville,Congo,False,,D,0.06666666666666667,0.06666666666666667,1000.0,1000.0,0.0,0.0,2.0
2016-03-27,Kenya,Guinea-Bissau,0.0,1.0,African Cup of Nations qualification,Nairobi,Kenya,False,,A,0.0,0.2,992.0,1008.0,-16.0,-1.0,2.0
2016-03-27,Mozambique,Ghana,0.0,0.0,African Cup of Nations qualification,Maputo,Mozambique,False,,D,0.0,0.2,992.0,1008.0,-16.0,0.0,2.0
2016-03-27,Romania,Spain,0.0,0.0,Friendly,Cluj,Romania,False,,D,0.2,0.06666666666666667,1004.0,1000.0,4.0,0.0,1.0
2016-03-27,Thailand,South Korea,0.0,1.0,Friendly,Bangkok,Thailand,False,,A,0.06666666666666667,0.2,999.9079006654217,1007.8168855145383,-7.91,-1.0,1.0
2016-03-28,Andorra,Moldova,0.0,1.0,Friendly,Paola,Malta,True,,A,0.5,0.06666666666666667,1000.0,1000.0,0.0,-1.0,1.0
